,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
6328,1,56.31,2024-01-24 23:35:28 UTC,-47.40615191120749,-21.27189213172062,-52.967083787513644,-33.281488621305364,4
4926,2,79.29,2023-12-01 23:35:28 UTC,-41.58790079768156,2.5039408452682537,-42.14826508779976,-15.201609505112952,2
3669,3,84.91,2023-11-07 23:35:28 UTC,-72.58483837214717,-0.6119300089931343,-56.15534033348881,3.3107061161289693,2
3286,4,79.54,2024-05-13 23:35:28 UTC,-72.53600565542538,-21.40998466374505,-62.403086250317884,-11.1836134929722,1
7056,5,96.27,2024-06-23 23:35:28 UTC,-68.35624966260553,3.5575232869167337,-64.97320580777824,3.3454479146926914,3
2190,6,83.4,2024-04-13 23:35:28 UTC,-52.4501742613524,-33.29426859320683,-50.225297603461364,-31.846731156970687,1
1839,7,88.44,2023-11-22 23:35:28 UTC,-65.51545577449116,-8.876874301870824,-65.15959278167395,-20.84557828140619,4
5586,8,59.97,2024-03-07 23:35:28 UTC,-53.783669880373296,-22.914755795795987,-66.78029933202477,-17.410924751681783,4
7762,9,70.61,2023-09-25 23:35:28 UTC,-72.2510845864212,-28.244976827382796,-62.2999359467123,-13.896669518330299,4
5223,10,87.42,2023-08-15 23:35:28 UTC,-40.271540187233775,-31.422021726774016,-39.95497366562557,-24.583012128273182,2
6009,11,48.24,2023-07-13 23:35:28 UTC,-73.46928007655346,-28.781827984006704,-61.410853661896745,-21.193607110005658,4
9885,12,35.74,2023-10-15 23:35:28 UTC,-66.22475862834091,-30.487710513570672,-63.47646490912264,-12.782292585842665,1
6890,13,20.28,2023-11-14 23:35:28 UTC,-54.449301165614465,-27.32425506558052,-41.385255563892585,-22.19085131453447,3
8802,14,93.29,2024-01-23 23:35:28 UTC,-38.29465143400311,-0.745503014130847,-45.465968399602524,-9.598092839482199,1
3153,15,22.95,2024-02-03 23:35:28 UTC,-41.55757988096707,-21.525168765829157,-58.956016588824916,-21.58884065633062,1
4532,16,23.16,2024-04-26 23:35:28 UTC,-38.78856345867674,-27.005376790324632,-35.56009640388963,-28.730675260403466,3
1805,17,35.1,2024-04-24 23:35:28 UTC,-36.09787478632136,-19.639681273970538,-38.65554614605714,-18.992521454742437,4
7015,18,47.38,2024-04-12 23:35:28 UTC,-59.50775797249601,-17.92693906824333,-47.963835124084696,-22.268810054558383,1
2997,19,54.69,2024-03-31 23:35:28 UTC,-61.82098248209553,-24.034337567006503,-61.261780882661334,-23.37573112531942,2
9294,20,45.74,2023-09-21 23:35:28 UTC,-57.97646113610726,-0.7634845423236456,-42.67385775562266,-0.5112698497660517,1
7826,21,17.84,2023-07-05 23:35:28 UTC,-65.14555051550288,-21.61581417076747,-72.00079324705597,-31.405530785317666,1
